rowkey,cust_ind,ecif_cust_id,cust_nm,unify_credit_code,found_dt,survival_status,opscope,cert_capt_amt,cert_capt_ccy,org_capt_amt,org_capt_ccy,hold_type,corp_econ_type,four_commis_corp_scale,cert_province,cert_city,cert_district,busin_addr,mec_num,industry_cd,industry_big_cd,industry_mid_cd,industry_sml_cd,oprt_cust_ind,scient_corp_ind,soe_ind,poe_ind,cb_poe_ind,icpe_ind,gov_com_fin_ind,gov_com_chs_ind,gov_com_other_ind,ngo_ind,re_comp_ind,fl_ind,mainten_fund_ind,legal_rep_nm,legal_rep_cust_id,act_ctrl_psn_nm,act_ctrl_psn_cust_id,vol_manager_id,vol_manager_org_id,manu_manager_id,manu_manager_org_id,pyrl_sign_ind,rplymt_tax_sign_ind,itnst_sign_ind,corp_ebnkg_sign_ind,mb_sign_ind,snd_bl_sign_ind,snd_bl_cust_sign_ind,pyrl_sign_dt,corp_ebnkg_sign_dt,mb_sign_dt,snd_bl_sign_dt,agt_cnt_12m,agt_amt_12m,agt_num_12m,agt_vld_ind_12m,corp_ebnkg_trans_y_ind,corp_mb_trans_y_ind,pyst_cust_y_ind,swap_corp_cust_ind,cash_cst_ind,sk_cust_ind,forex_cust_y_ind,open_acct_dt,lvl1_cust_ind,bsc_dep_acct_ind,manu_settle_amt,manu_settle_amt_avg_cnt,zero_dep_cust_ind,genal_cust_ind,ptntl_cst_ind,val_cust_ind,mediun_cust_ind,key_cust_ind,exchg_c_bal,exchg_c_bal_yavg,c_exchg_cny_12m_yaug,exchg_cny_dmd_12m_yaug,crg_cst_ind,project_loan_cust_ind,green_loan_cust_ind,ph_loan_cust_ind,manufacture_indu_loan_cust_ind,bill_fin_cust_ind,supply_core_cust_ind,supply_chain_cust_ind,our_bank_credit_lmt,our_bank_credit_bal,our_bank_usd_lmt,our_bank_avl_lmt,exchg_c_loan_bal,exchg_c_loan_yavg,cny_c_loan_bal,amt_mid_i,eva,corp_report_dt,report_crdt_amt,report_crdt_bal,report_crdt_our_bank_amt,report_crdt_our_bank_bal,abnormity_cust_ind,risk_cust_ind,aml_high_lvl_cust_ind,wire_fraud_risk_ind,veason_cust_ind,sleep_cust_ind,loan_overdue_cust_ind,badloan_cust_ind,hhnw_tech_entp_ind,spldnctgdtin_sme_ind,spldnctgdtin_shpe_ind,st_tp_sme_ind,invt_tp_sme_ind,ctytechinvtdmtentp_ind,mecidyidvchpnentp_ind,latest_fnc_round,latest_round_fnc_amt,latest_round_fnc_cny,latest_round_fnc_inv,ipo_ind,starr_market_ind,chinext_ind,neeq_ind,debt_issu_corp_ind,ues_rplymt_tax_y_ind,SH_SCI_RNG,SCIENT_REVOKE_12M_IND,SCIENT_COUNTERFEIT_3Y_IND,SCIENT_DECLINE_LVL_3Y_IND,NO_SCI_TECH_ACHI_2Y_IND,SCI_TECH_RANK_TAIL_2Y_IND,RESE_DEV_PAT_LOW_2Y_IND,HIGH_VAL_PAT_RET_0_2Y_IND,PAT_LAW_BINVA_3Y_IND,CST_MGRP_ID,CST_MGRP_NM,SETL_ACTV_ACCT_IND,MRAQ_LOAN_CUST_IND,MANU_SETTLE_AMT_MON_NUM,PYRL_MON_NUM_12M,PYRL_AMT_M,CFM_CRG_PCT,NUM_PYRL_AMT_12M_AVG,LATEST_PYRL_DT,UNION_MEC_NUM,UES_RPLYMT_TAX_M_IND,CORP_EBNKG_M_IND,CORP_MB_M_IND,CUST_STATUS,IDYCMRC_CAN_IND,dt
MOCK_TAG_0001,MOCK_CUST_0001,MOCK_ECIF_0001,上海澄川商贸股份有限公司,9131011470000001XL,20190109,存续,日用百货、五金及电子产品批发,177100000.00000000,CNY,159390000.00000000,CNY,私人控股,私营股份有限公司,大型,310000,310100,310114,上海市嘉定区嘉罗公路81号2幢102室,1627,F,51,513,5135,1,0,0,1,0,0,0,0,0,0,0,0,0,赵明博,MOCK_PERSON_0001,赵明博,MOCK_PERSON_0001,MOCK_ORG_SH_JD_02,MOCK_ORG_SH_JD,MOCK_ORG_SH_JD_02,MOCK_ORG_SH_JD,1,1,0,1,1,1,20260214,20241114,20241111,20241113,20241115,9562,76017902.99000000,1366,1,1,1,0,1,0,0,0,20241101,1,1,2938710.00000000,5,0,1,0,0,0,0,168882560.00000000,69678224.00000000,65936707.51000000,56672000.00000000,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20260917,136367000.00000000,65456160.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00000000,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,1,0,12,7,10859700.55000000,0.00000000,7950.00031270,20260905,1627,0,1,1,正常,0,20260917
MOCK_TAG_0002,MOCK_CUST_0002,MOCK_ECIF_0002,上海澄原信息科技有限公司,91310112700000028P,20080108,存续,软件开发、信息系统集成及技术咨询,2800000.00000000,CNY,1008000.00000000,CNY,私人控股,私营有限责任公司,小型,310000,310100,310112,上海市闵行区联航路82号3幢103室,81,I,65,651,6513,1,1,0,1,0,0,0,0,0,0,0,0,0,钱明博,MOCK_PERSON_0002,钱明博,MOCK_PERSON_0002,MOCK_ORG_SH_MH_03,MOCK_ORG_SH_MH,MOCK_ORG_SH_MH_03,MOCK_ORG_SH_MH,1,1,0,1,1,0,20260602,20250604,20250601,20250603,,228,2728876.73000000,57,1,1,1,0,0,0,0,0,20250524,1,1,2603882.00000000,5,0,1,0,0,0,0,1372000.92000000,1373891.93000000,1311073.42000000,1311073.42000000,1,0,0,0,0,0,0,0,1310400.00000000,216478.08000000,216478.08000000,1093921.92000000,216478.08000000,218369.09000000,216478.08000000,0.00000000,0.00000000,20260917,2794400.00000000,854598.08000000,1310400.00000000,216478.08000000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,C,1288000.00000000,CNY,嘉禾产业投资03,0,0,0,0,0,0,0–19,0,0,0,0,0,0,0,0,MOCK_GROUP_40,产业集团40,1,0,12,4,748125.48000000,0.46893788,11968.75758772,20260910,81,0,1,1,正常,0,20260917
MOCK_TAG_0003,MOCK_CUST_0003,MOCK_ECIF_0003,上海澄辰食品有限公司,91310112700000036J,20120216,存续,食品加工、预包装食品销售,44000000.00000000,CNY,22000000.00000000,CNY,私人控股,私营有限责任公司,中型,310000,310100,310112,上海市闵行区联航路83号4幢104室,302,C,14,149,1499,1,0,0,1,0,0,0,0,0,0,0,0,0,赵明博,MOCK_PERSON_0001,孙明博,MOCK_PERSON_0003,MOCK_ORG_SH_MH_04,MOCK_ORG_SH_MH,MOCK_ORG_SH_MH_04,MOCK_ORG_SH_MH,1,1,0,1,1,0,20251012,20240608,20240605,20240607,,2486,17591281.27000000,226,1,1,1,0,0,0,0,0,20240601,1,1,1484886.00000000,3,0,1,0,0,1,0,49385600.78000000,30112246.53000000,27272285.29000000,24887846.90000000,1,0,0,0,0,0,0,0,53856000.00000000,0.00000000,0.00000000,53856000.00000000,0.00000000,6524861.54000000,0.00000000,0.00000000,0.00000000,20260917,63536000.00000000,4452800.00000000,53856000.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00000000,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,1,0,12,11,0.00000000,0.84764543,7076.13888576,20260820,302,0,1,1,正常,0,20260917
MOCK_TAG_0004,MOCK_CUST_0004,MOCK_ECIF_0004,上海澄宁食品有限公司,91310115700000044Q,20110705,存续,食品加工、预包装食品销售,900000.00000000,CNY,747000.00000000,CNY,私人控股,私营有限责任公司,小型,310000,310100,310115,上海市浦东新区金海路84号5幢105室,43,C,14,149,1499,1,0,0,1,0,0,0,0,0,0,0,0,0,李明博,MOCK_PERSON_0004,李明博,MOCK_PERSON_0004,MOCK_ORG_SH_PD_05,MOCK_ORG_SH_PD,MOCK_ORG_SH_PD_05,MOCK_ORG_SH_PD,1,1,0,1,1,0,20251005,20250201,20250129,20250131,,319,2192261.29000000,29,1,1,1,0,0,0,0,0,20250127,1,1,2557436.00000000,5,0,1,0,0,0,0,585000.04000000,585000.04000000,585000.04000000,585000.04000000,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20260917,387000.00000000,96750.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00000000,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,MOCK_GROUP_31,产业集团31,1,0,12,11,0.00000000,0.00000000,6872.29244514,20260825,43,0,1,1,正常,0,20260917
MOCK_TAG_0005,MOCK_CUST_0005,MOCK_ECIF_0005,上海澄知信息科技有限公司,91310115700000052K,20080224,存续,软件开发、信息系统集成及技术咨询,2000000.00000000,CNY,640000.00000000,CNY,私人控股,私营有限责任公司,小型,310000,310100,310115,上海市浦东新区金海路85号6幢106室,28,I,65,651,6513,1,1,0,1,0,0,0,0,0,0,0,0,0,周明博,MOCK_PERSON_0005,周明博,MOCK_PERSON_0005,MOCK_ORG_SH_PD_06,MOCK_ORG_SH_PD,MOCK_ORG_SH_PD_06,MOCK_ORG_SH_PD,0,1,0,1,1,1,,20250122,20250119,20250121,20250123,0,0.00000000,0,0,1,1,0,0,0,0,0,20250111,1,1,2280648.00000000,4,0,1,0,0,0,0,800000.62000000,800000.62000000,800000.62000000,800000.62000000,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20260917,180000.00000000,64800.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0.00000000,,,0,0,0,0,0,0,0–19,0,0,0,0,0,0,0,0,,,1,0,12,0,0.00000000,0.00000000,0.00000000,,28,0,1,1,正常,0,20260917
MOCK_TAG_0006,MOCK_CUST_0006,MOCK_ECIF_0006,杭州澄禾食品有限公司,91330108700000060J,20130417,存续,食品加工、预包装食品销售,900000.00000000,CNY,747000.00000000,CNY,私人控股,私营有限责任公司,小型,330000,330100,330108,杭州市滨江区江陵路86号7幢107室,74,C,14,149,1499,1,0,0,1,0,0,0,0,0,0,0,0,0,周明博,MOCK_PERSON_0005,吴明博,MOCK_PERSON_0006,MOCK_ORG_ZJ_HZ_07,MOCK_ORG_ZJ_HZ,MOCK_ORG_ZJ_HZ_07,MOCK_ORG_ZJ_HZ,0,1,0,1,1,1,,20230213,20230210,20230212,20230214,0,0.00000000,0,0,1,1,0,0,0,0,0,20230203,1,1,2277732.00000000,4,0,1,0,0,0,0,873001.36000000,489046.91000000,477814.44000000,450000.70000000,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20260917,387000.00000000,89010.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00000000,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,1,0,12,0,0.00000000,0.00000000,0.00000000,,74,0,1,1,正常,0,20260917
MOCK_TAG_0007,MOCK_CUST_0007,MOCK_ECIF_0007,宁波澄润供应链有限公司,91330212700000079D,20211109,存续,仓储服务、国内货物运输代理,28900000.00000000,CNY,20519000.00000000,CNY,私人控股,私营有限责任公司,中型,330000,330200,330212,宁波市鄞州区首南东路87号8幢108室,237,G,58,582,5821,1,0,0,1,0,0,0,0,0,0,0,0,0,郑明博,MOCK_PERSON_0007,郑明博,MOCK_PERSON_0007,MOCK_ORG_ZJ_NB_08,MOCK_ORG_ZJ_NB,MOCK_ORG_ZJ_NB_08,MOCK_ORG_ZJ_NB,1,1,0,1,1,0,20260530,20230710,20230707,20230709,,860,6776802.01000000,215,1,1,1,0,0,0,0,0,20230630,1,1,2381842.00000000,4,0,1,0,0,1,0,5780000.83000000,8602921.44000000,6128108.42000000,6128108.42000000,1,0,0,0,0,0,0,0,19218500.00000000,9551594.50000000,9551594.50000000,9666905.50000000,9551594.50000000,8617427.57000000,9551594.50000000,0.00000000,0.00000000,20260917,24131500.00000000,11958964.50000000,19218500.00000000,9551594.50000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,C,15317000.00000000,CNY,嘉禾产业投资08,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,MOCK_GROUP_45,产业集团45,1,0,12,4,2029600.32000000,0.79640719,7880.00233721,20260915,237,0,1,1,正常,0,20260917
MOCK_TAG_0008,MOCK_CUST_0008,MOCK_ECIF_0008,杭州澄森商贸有限公司,91330108700000087A,20070807,存续,日用百货、五金及电子产品批发,19200000.00000000,CNY,19200000.00000000,CNY,私人控股,私营有限责任公司,中型,330000,330100,330108,杭州市滨江区江陵路88号1幢109室,308,F,51,513,5135,1,0,0,1,0,0,0,0,0,0,0,0,0,王明博,MOCK_PERSON_0008,王明博,MOCK_PERSON_0008,MOCK_ORG_ZJ_HZ_01,MOCK_ORG_ZJ_HZ,MOCK_ORG_ZJ_HZ_01,MOCK_ORG_ZJ_HZ,1,1,0,1,1,0,20260315,20250130,20250127,20250129,,1422,10256178.59000000,237,1,1,1,0,0,0,0,0,20250124,1,1,2061892.00000000,4,0,1,0,0,1,0,7872000.10000000,10105743.46000000,9463159.75000000,9463159.75000000,1,0,0,0,0,0,0,0,5836800.00000000,0.00000000,0.00000000,5836800.00000000,0.00000000,2233743.36000000,0.00000000,0.00000000,0.00000000,20260917,8140800.00000000,944640.00000000,5836800.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00000000,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,1,0,12,6,0.00000000,0.71698113,7212.50252461,20260825,308,0,1,1,正常,0,20260917
MOCK_TAG_0009,MOCK_CUST_0009,MOCK_ECIF_0009,上海澄远医疗科技有限公司,91310114700000095J,20081003,存续,医疗器械研发、技术咨询及销售,2000000.00000000,CNY,800000.00000000,CNY,私人控股,私营有限责任公司,小型,310000,310100,310114,上海市嘉定区嘉罗公路89号2幢110室,26,C,35,358,3589,1,1,0,1,0,0,0,0,0,0,0,0,0,王明博,MOCK_PERSON_0008,陈明博,MOCK_PERSON_0009,MOCK_ORG_SH_JD_02,MOCK_ORG_SH_JD,MOCK_ORG_SH_JD_02,MOCK_ORG_SH_JD,1,1,0,1,1,0,20251113,20230313,20230310,20230312,,170,1968180.99000000,17,1,1,1,0,0,0,0,0,20230307,1,1,2014978.00000000,4,0,1,0,0,0,0,840000.68000000,840000.68000000,840000.68000000,840000.68000000,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20260917,420000.00000000,201600.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0.00000000,,,0,0,0,0,0,0,0–19,0,0,0,0,0,0,0,0,,,1,0,12,10,0.00000000,0.00000000,11577.53523529,20260825,26,0,1,1,正常,0,20260917
MOCK_TAG_0010,MOCK_CUST_0010,MOCK_ECIF_0010,上海澄衡供应链有限公司,91310112700000108B,20140310,存续,仓储服务、国内货物运输代理,15200000.00000000,CNY,6840000.00000000,CNY,私人控股,私营有限责任公司,中型,310000,310100,310112,上海市闵行区联航路90号3幢111室,468,G,58,582,5821,1,0,0,1,0,0,0,0,0,0,0,0,0,杨明博,MOCK_PERSON_0010,杨明博,MOCK_PERSON_0010,MOCK_ORG_SH_MH_03,MOCK_ORG_SH_MH,MOCK_ORG_SH_MH_03,MOCK_ORG_SH_MH,0,1,0,1,1,1,,20250419,20250416,20250418,20250420,0,0.00000000,0,0,1,1,0,0,0,0,0,20250408,1,1,2558438.00000000,4,0,1,0,0,1,0,8360000.29000000,8360000.29000000,8360000.29000000,8360000.29000000,0,0,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20260917,12008000.00000000,2041360.00000000,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00000000,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,1,0,12,0,0.00000000,0.00000000,0.00000000,,468,0,1,1,正常,0,20260917
